vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_0732200	3.08253840271194	0	41.120304187503	62.1595245344496
PF3D7_0301800	10.2751280090398	10.0354017388699	154.991915783665	149.000036751695
PF3D7_0508700	159.264484140117	137.485003822518	342.669201562525	371.128925896861
PF3D7_0911100	25.6878200225995	29.1026650427228	146.556981591357	163.625807230389
PF3D7_1026000	269.208353836842	288.016029905567	759.144077307747	832.754806630641
PF3D7_1353200	39.0454864343512	23.0814239994008	202.438420615399	192.877348187777
PF3D7_0525000	177.759714556388	154.545186778597	1136.60738241354	1160.92053174634
PF3D7_1026600	48.293101642487	47.1663881726886	143.393881269241	199.276122772206
PF3D7_1429200	3.08253840271194	6.02124104332195	119.143445466355	141.687151512348
PF3D7_1029600	9074.99305758394	10153.8194793886	2607.4490321973	2481.81042810339
PF3D7_1221900	23.6327944207915	17.0601829560789	140.230780947126	147.171815441859
PF3D7_0322900	2487.60849098853	2704.54076862544	1311.63226690394	1168.23341698569
PF3D7_1019400	1226.85028427935	1507.31734117826	649.489932807739	617.938802724823
PF3D7_0526600	60.6232552533348	37.1309864338187	309.98383156733	345.533827559146
PF3D7_0507500	52.4031528461029	107.378798605908	225.634489644247	220.300667835329
PF3D7_0830900	35.9629480316393	33.1168257382707	196.112219971168	245.895766173043
PF3D7_0832100	6.16507680542387	9.03186156498293	99.1104767596226	100.552172041021
PF3D7_0702500	223.997790597067	197.697414255737	1165.07528531258	1241.36226937916
PF3D7_1421200	1735.46912072682	2102.41666429325	890.939924062565	806.245597638008
PF3D7_1412500	117.136459303054	60.2124104332195	371.137104461565	376.613589826371
PF3D7_1001200	1205.27251546037	1602.65365769753	394.333173490413	337.306831664881
PF3D7_0524900	151.044381732885	111.392959301456	369.028370913488	415.920347987861
PF3D7_0424700	8.22010240723183	5.01770086943496	171.861784168282	165.454028540226
PF3D7_1461800	4.11005120361592	1.00354017388699	67.4794735384664	111.521499900042
PF3D7_0701900	0	6.02124104332195	56.9358057980811	65.8159671541231
