# Program:featureCounts v1.6.0; Command:"featureCounts" "-T" "3" "-t" "gene" "-g" "ID" "-a" "../Reference_Data/PlasmoDB-41_Pfalciparum3D7.gff" "-o" "vehicle_drug_feature_counts.txt" "-p" "vehicle_rep1.bam" "vehicle_rep2.bam" "drug_rep1.bam" "drug_rep2.bam" 
Geneid	Chr	Start	End	Strand	Length	vehicle_rep1.bam	vehicle_rep2.bam	drug_rep1.bam	drug_rep2.bam
PF3D7_0621350	Pf3D7_06_v3	876679	877298	-	620	0	7	3	4
PF3D7_1314600	Pf3D7_13_v3	624785	626011	+	1227	68	54	13	25
PF3D7_0209400	Pf3D7_02_v3	388424	390611	-	2188	305	286	208	207
PF3D7_1142200	Pf3D7_11_v3	1692897	1694137	-	1241	8	20	11	3
PF3D7_0507200	Pf3D7_05_v3	298427	300736	-	2310	43	45	51	43
PF3D7_0806000	Pf3D7_08_v3	326215	330004	-	3790	81	62	57	66
PF3D7_1006800	Pf3D7_10_v3	277621	279168	+	1548	1199	924	1028	1184
PF3D7_0412000	Pf3D7_04_v3	536774	539110	+	2337	291	259	392	581
PF3D7_0732200	Pf3D7_07_v3	1390711	1392043	+	1333	3	0	39	68
PF3D7_0324800	Pf3D7_03_v3	1027571	1028929	+	1359	1	0	1	0
PF3D7_1227500	Pf3D7_12_v3	1114025	1121093	-	7069	419	369	331	435
PF3D7_0301800	Pf3D7_03_v3	104325	105281	+	957	10	10	147	163
PF3D7_0920900	Pf3D7_09_v3	855516	857286	+	1771	229	164	128	188
PF3D7_1443600	Pf3D7_14_v3	1784933	1790629	-	5697	28	34	20	32
PF3D7_0415900	Pf3D7_04_v3	697918	698768	-	851	3133	3383	2431	2360
PF3D7_0214100	Pf3D7_02_v3	568529	573315	-	4787	1632	1439	807	1281
PF3D7_0726100	Pf3D7_07_v3	1093566	1096122	-	2557	10	6	24	35
PF3D7_0717700	Pf3D7_07_v3	764794	766413	-	1620	1335	1484	1112	1270
PF3D7_1342200	Pf3D7_13_v3	1660812	1663730	-	2919	14	18	8	8
PF3D7_1400700	Pf3D7_14_v3	24337	25320	-	984	0	0	0	0
PF3D7_1322800	Pf3D7_13_v3	960166	960646	+	481	49	66	27	20
PF3D7_1477400	Pf3D7_14_v3	3183248	3184352	+	1105	1	0	0	0
PF3D7_1106700	Pf3D7_11_v3	279920	282994	-	3075	111	93	79	100
PF3D7_0621100	Pf3D7_06_v3	865845	869909	-	4065	136	191	134	127
PF3D7_1040800	Pf3D7_10_v3	1625772	1626824	+	1053	0	0	0	0
PF3D7_0909100	Pf3D7_09_v3	415205	417433	+	2229	22	10	13	11
PF3D7_1028500	Pf3D7_10_v3	1172129	1174997	-	2869	111	124	147	169
PF3D7_1342400	Pf3D7_13_v3	1666832	1668153	-	1322	843	1148	653	701
PF3D7_1419100	Pf3D7_14_v3	793752	796877	+	3126	64	65	100	121
PF3D7_1448500	Pf3D7_14_v3	1984189	1995574	-	11386	390	328	445	530
PF3D7_1125000	Pf3D7_11_v3	983951	985619	-	1669	272	410	463	521
PF3D7_1468000	Pf3D7_14_v3	2777632	2785114	+	7483	10	9	14	22
PF3D7_0500900	Pf3D7_05_v3	50422	52510	-	2089	63	74	63	67
PF3D7_1207600	Pf3D7_12_v3	349479	351284	-	1806	66	45	77	80
PF3D7_0311400	Pf3D7_03_v3	488804	496510	+	7707	4	1	9	10
PF3D7_0722200	Pf3D7_07_v3	946363	948612	+	2250	146	184	133	111
PF3D7_0515900	Pf3D7_05_v3	660150	661136	-	987	73	124	85	89
PF3D7_0319500	Pf3D7_03_v3	815569	816855	+	1287	227	178	287	331
PF3D7_API02500	Pf3D7_API_v3	7040	7150	+	111	0	0	0	0
PF3D7_1450000	Pf3D7_14_v3	2047793	2050083	+	2291	50	75	139	146
PF3D7_0300600	Pf3D7_03_v3	58307	58519	-	213	0	0	0	0
PF3D7_1222800	Pf3D7_12_v3	920790	922416	-	1627	9	5	6	20
PF3D7_1443900	Pf3D7_14_v3	1797288	1800071	+	2784	242	272	390	418
PF3D7_1470100	Pf3D7_14_v3	2870069	2877589	+	7521	104	78	41	65
PF3D7_0519700	Pf3D7_05_v3	817066	819139	+	2074	401	393	323	444
PF3D7_1469700	Pf3D7_14_v3	2863914	2864531	+	618	95	77	84	117
PF3D7_1455700	Pf3D7_14_v3	2278701	2282162	-	3462	135	108	209	250
PF3D7_1132100	Pf3D7_11_v3	1243226	1246618	-	3393	2	4	5	6
PF3D7_0532200	Pf3D7_05_v3	1303662	1304526	-	865	35	43	73	111
PF3D7_0508700	Pf3D7_05_v3	358261	362733	+	4473	155	137	325	406
